PassengerId,Survived,Sex,Age,SibSp,Parch,Embarked,Pclass,Fare
0,0,0,22,1,0,0,3,7.25
1,1,1,38,1,0,1,1,71.2833
2,1,1,26,0,0,0,3,7.925
3,1,1,35,1,0,0,1,53.1
4,0,0,35,0,0,0,3,8.05
5,0,0,28,0,0,2,3,8.4583
6,0,0,54,0,0,0,1,51.8625
7,0,0,2,3,1,0,3,21.075
8,1,1,27,0,2,0,3,11.1333
9,1,1,14,1,0,1,2,30.0708
10,1,1,4,1,1,0,3,16.7
11,1,1,58,0,0,0,1,26.55
12,0,0,20,0,0,0,3,8.05
13,0,0,39,1,5,0,3,31.275
14,0,1,14,0,0,0,3,7.8542
15,1,1,55,0,0,0,2,16
16,0,0,2,4,1,2,3,29.125
17,1,0,28,0,0,0,2,13
18,0,1,31,1,0,0,3,18
19,1,1,28,0,0,1,3,7.225
20,0,0,35,0,0,0,2,26
21,1,0,34,0,0,0,2,13
22,1,1,15,0,0,2,3,8.0292
23,1,0,28,0,0,0,1,35.5
24,0,1,8,3,1,0,3,21.075
25,1,1,38,1,5,0,3,31.3875
26,0,0,28,0,0,1,3,7.225
27,0,0,19,3,2,0,1,263
28,1,1,28,0,0,2,3,7.8792
29,0,0,28,0,0,0,3,7.8958
30,0,0,40,0,0,1,1,27.7208
31,1,1,28,1,0,1,1,146.5208
32,1,1,28,0,0,2,3,7.75
33,0,0,66,0,0,0,2,10.5
34,0,0,28,1,0,1,1,82.1708
35,0,0,42,1,0,0,1,52
36,1,0,28,0,0,1,3,7.2292
37,0,0,21,0,0,0,3,8.05
38,0,1,18,2,0,0,3,18
39,1,1,14,1,0,1,3,11.2417
40,0,1,40,1,0,0,3,9.475
41,0,1,27,1,0,0,2,21
42,0,0,28,0,0,1,3,7.8958
43,1,1,3,1,2,1,2,41.5792
44,1,1,19,0,0,2,3,7.8792
45,0,0,28,0,0,0,3,8.05
46,0,0,28,1,0,2,3,15.5
47,1,1,28,0,0,2,3,7.75
48,0,0,28,2,0,1,3,21.6792
49,0,1,18,1,0,0,3,17.8
50,0,0,7,4,1,0,3,39.6875
51,0,0,21,0,0,0,3,7.8
52,1,1,49,1,0,1,1,76.7292
53,1,1,29,1,0,0,2,26
54,0,0,65,0,1,1,1,61.9792
55,1,0,28,0,0,0,1,35.5
56,1,1,21,0,0,0,2,10.5
57,0,0,28.5,0,0,1,3,7.2292
58,1,1,5,1,2,0,2,27.75
59,0,0,11,5,2,0,3,46.9
60,0,0,22,0,0,1,3,7.2292
61,1,1,38,0,0,0,1,80
62,0,0,45,1,0,0,1,83.475
63,0,0,4,3,2,0,3,27.9
64,0,0,28,0,0,1,1,27.7208
65,1,0,28,1,1,1,3,15.2458
66,1,1,29,0,0,0,2,10.5
67,0,0,19,0,0,0,3,8.1583
68,1,1,17,4,2,0,3,7.925
69,0,0,26,2,0,0,3,8.6625
70,0,0,32,0,0,0,2,10.5
71,0,1,16,5,2,0,3,46.9
72,0,0,21,0,0,0,2,73.5
73,0,0,26,1,0,1,3,14.4542
74,1,0,32,0,0,0,3,56.4958
75,0,0,25,0,0,0,3,7.65
76,0,0,28,0,0,0,3,7.8958
77,0,0,28,0,0,0,3,8.05
78,1,0,0.83,0,2,0,2,29
79,1,1,30,0,0,0,3,12.475
80,0,0,22,0,0,0,3,9
81,1,0,29,0,0,0,3,9.5
82,1,1,28,0,0,2,3,7.7875
83,0,0,28,0,0,0,1,47.1
84,1,1,17,0,0,0,2,10.5
85,1,1,33,3,0,0,3,15.85
86,0,0,16,1,3,0,3,34.375
87,0,0,28,0,0,0,3,8.05
88,1,1,23,3,2,0,1,263
89,0,0,24,0,0,0,3,8.05
90,0,0,29,0,0,0,3,8.05
91,0,0,20,0,0,0,3,7.8542
92,0,0,46,1,0,0,1,61.175
93,0,0,26,1,2,0,3,20.575
94,0,0,59,0,0,0,3,7.25
95,0,0,28,0,0,0,3,8.05
96,0,0,71,0,0,1,1,34.6542
